exp_idx,reference_shift_nm,baseline_shift_nm,proposed_shift_nm,baseline_abs_error_nm,proposed_abs_error_nm
1,-0.02145511736256097,-0.015154346823692322,-0.015522010624408722,0.006300770538868648,0.005933106738152248
4,-0.012240623850391149,-0.01013696938753128,-0.011359818279743195,0.0021036544628598684,0.0008808055706479544
7,0.02159452449916921,0.016066767275333405,0.013791240751743317,0.005527757223835805,0.007803283747425893
10,0.009070889335485211,-0.005880821496248245,-0.01007678359746933,0.014951710831733456,0.01914767293295454
13,-0.027489793619752744,-0.027379415929317474,-0.028450801968574524,0.00011037769043526977,0.0009610083488217798
16,-0.004924260863612929,-0.0022775232791900635,-0.0029630959033966064,0.0026467375844228657,0.0019611649602163227
19,0.014856775781064521,0.013006076216697693,0.011852145195007324,0.0018506995643668284,0.003004630586057197
22,0.026170205583248826,0.026617027819156647,0.024740412831306458,0.00044682223590782055,0.0014297927519423687
25,-0.0296617518964269,-0.0343964621424675,-0.04004375636577606,0.004734710246040597,0.01038200446934916
28,0.0042552792153651205,0.0020021647214889526,-0.004103358834981918,0.002253114493876168,0.008358638050347039
31,-0.003909794950349091,0.0037210211157798767,0.0026870816946029663,0.007630816066128968,0.006596876644952058
34,0.001825045578510732,0.007502883672714233,0.005712397396564484,0.005677838094203502,0.0038873518180537517
37,0.026278045855244896,0.01311519742012024,0.014071129262447357,0.013162848435124656,0.012206916592797538
40,-0.026728703844591046,-0.019822709262371063,-0.020330972969532013,0.006905994582219983,0.006397730875059033
43,0.0007173104773924237,-0.007575720548629761,-0.01078910380601883,0.008293031026022184,0.011506414283411252
46,-0.01330775076430774,-0.023466069251298904,-0.026333201676607132,0.010158318486991164,0.013025450912299391
49,-0.014443712367429487,-0.019021622836589813,-0.02170499414205551,0.004577910469160326,0.007261281774626024
52,0.01857015324379949,0.028482064604759216,0.02853982150554657,0.009911911360959726,0.00996966826174708
55,0.023115872871511997,0.01975823938846588,0.019751407206058502,0.0033576334830461158,0.003364465665453495
58,-0.015442176817058898,-0.015176963061094284,-0.016134385019540787,0.0002652137559646141,0.0006922082024818886
61,-0.006943904804286003,-0.007210895419120789,-0.008027125149965286,0.00026699061483478545,0.0010832203456792831
64,-0.02984809616604974,-0.02149154245853424,-0.021324217319488525,0.0083565537075155,0.008523878846561216
67,0.004200313567347379,0.0034471526741981506,0.004297919571399689,0.0007531608931492283,9.760600405230978e-05
70,0.0072810560745368,0.009082891047000885,0.00906766951084137,0.0018018349724640854,0.00178661343630457
73,0.001846807364385622,0.00034502148628234863,-0.004430316388607025,0.0015017858781032733,0.006277123752992647
76,-0.017910279686256886,-0.013523399829864502,-0.01279345154762268,0.004386879856392384,0.005116828138634205
79,-0.016265969115397686,-0.012069318443536758,-0.012701373547315598,0.004196650671860928,0.0035645955680820886
82,0.0008217444002788205,-0.002313584089279175,-0.007401760667562485,0.0031353284895579954,0.008223505067841304
85,-0.013293289407318798,-0.013088040053844452,-0.014173440635204315,0.00020524935347434638,0.0008801512278855169
88,-0.017920815058432366,-0.014335252344608307,-0.015436723828315735,0.0035855627138240594,0.0024840912301166314
91,0.007153285580249644,-0.0007428526878356934,-0.003171466290950775,0.007896138268085337,0.01032475187120042
94,-0.0032743215774635424,-0.011738359928131104,-0.01706095039844513,0.008464038350667561,0.013786628820981587
97,0.016176533407643787,0.012965664267539978,0.012485042214393616,0.0032108691401038086,0.003691491193250171
100,0.017489856668931835,0.022322654724121094,0.023057065904140472,0.004832798055189259,0.005567209235208637
103,0.004312471591877504,0.008077479898929596,0.00632554292678833,0.0037650083070520923,0.0020130713349108265
106,0.02879010195474087,0.021314814686775208,0.018287107348442078,0.007475287267965664,0.010502994606298794
109,-0.01906492300496138,-0.015963420271873474,-0.018098141998052597,0.0031015027330879054,0.0009667810069087825
112,0.01887238538202068,0.025319471955299377,0.023894570767879486,0.0064470865732786965,0.005022185385858805
115,-0.010454969054956515,-0.01633346453309059,-0.02011125162243843,0.005878495478134077,0.009656282567481916
118,0.02275156151518687,0.02283015102148056,0.02257559448480606,7.858950629369144e-05,0.00017596703038080808
